,Virginia pine,84.39,,-,,,,,-,,,,,,77.44,,,,,,-,,,,,,,,,,,,
,Sand pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Table Mountain pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pond pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pitch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spruce pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar,73.94,,93.85,,,,,83.23,,,,,,84.84,,,,,,-,,,,,,,,,,,,
,Rocky Mountain juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pinyon / juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Douglas-fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Port-Orford-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Ponderosa pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Incense-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Jeffrey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western white pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Noble fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific silver fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Grand fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mountain hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Alaska-yellow-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lodgepole pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sitka spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Redwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant sequoia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Knobcone pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bishop pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Monterey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Whitebark pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous western softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California mixed conifer,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scotch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Norway spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Introduced larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar / hardwood,67.48,,80.16,,,,,66.99,,,,,,98.77,,,,,,-,,,,,,,,,,,,
,Longleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Shortleaf pine / oak,78.79,,78.40,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Virginia pine / southern red oak,62.51,,78.88,,,,,94.23,,,,,,70.04,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loblolly pine / hardwood,51.47,,100.21,,,,,-,,,,,,43.59,,,,,,-,,,,,,,,,,,,
,Slash pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Post oak / blackjack oak,50.83,,59.90,,,,,-,,,,,,92.38,,,,,,-,,,,,,,,,,,,
,Chestnut oak,45.48,,52.71,,,,,105.08,,,,,,82.95,,,,,,-,,,,,,,,,,,,
,White oak / red oak / hickory,13.96,,17.52,,,,,27.33,,,,,,33.77,,,,,,-,,,,,,,,,,,,
,White oak,28.37,,33.11,,,,,45.44,,,,,,-,,,,,,-,,,,,,,,,,,,
,Northern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,27.65,,41.07,,,,,69.87,,,,,,37.67,,,,,,-,,,,,,,,,,,,
,Sassafras / persimmon,46.19,,62.94,,,,,87.30,,,,,,47.55,,,,,,-,,,,,,,,,,,,
,Sweetgum / yellow-poplar,36.38,,46.98,,,,,46.33,,,,,,41.85,,,,,,-,,,,,,,,,,,,
,Bur oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scarlet oak,89.33,,89.41,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar,47.54,,56.93,,,,,63.18,,,,,,64.79,,,,,,-,,,,,,,,,,,,
,Black walnut,68.21,,70.78,,,,,87.81,,,,,,61.06,,,,,,-,,,,,,,,,,,,
,Black locust,58.92,,-,,,,,52.98,,,,,,-,,,,,,-,,,,,,,,,,,,
,Southern scrub oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,35.93,,43.96,,,,,97.79,,,,,,53.37,,,,,,-,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,30.94,,43.80,,,,,65.60,,,,,,40.93,,,,,,-,,,,,,,,,,,,
,Elm / ash / black locust,33.77,,96.51,,,,,72.13,,,,,,29.68,,,,,,-,,,,,,,,,,,,
,Red maple / oak,47.72,,53.90,,,,,-,,,,,,89.82,,,,,,-,,,,,,,,,,,,
,Mixed upland hardwoods,29.33,,31.49,,,,,86.05,,,,,,51.98,,,,,,-,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,70.46,,73.23,,,,,30.05,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,96.80,,96.03,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Overcup oak / water hickory,43.93,,78.95,,,,,0.00,,,,,,-,,,,,,-,,,,,,,,,,,,
,Atlantic white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / water tupelo,94.64,,93.49,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / pondcypress,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black ash / American elm / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,River birch / sycamore,100.17,,101.04,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Willow,96.53,,-,,,,,-,,,,,,81.35,,,,,,-,,,,,,,,,,,,
,Sycamore / pecan / American elm,55.95,,67.67,,,,,86.96,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,43.74,,46.79,,,,,-,,,,,,88.86,,,,,,-,,,,,,,,,,,,
,Silver maple / American elm,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / lowland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood / willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,50.54,,50.35,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black cherry,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Hard maple / basswood,50.37,,61.04,,,,,107.13,,,,,,38.88,,,,,,-,,,,,,,,,,,,
,Red maple / upland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Aspen,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paper birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balsam poplar,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Pin cherry,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Red alder,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Bigleaf maple,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Gray pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,California black oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Oregon white oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Blue oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Coast live oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Canyon live oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Interior live oak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,California white oak (valley oak),-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Tanoak,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,California laurel,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Giant chinkapin,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Pacific madrone,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Other hardwoods,84.55,,-,,,,,-,,,,,79.74,,,,,,,-,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Palms,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Moist forest,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Wet and rain forest,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Lower montane wet and rain forest,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Other tropical hardwoods,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Paulownia,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Melaleuca,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Eucalyptus,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Other exotic hardwoods,88.27,,82.13,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Nonstocked,52.42,,-,,,,,-,,,,,-,,,,,,,52.42,,,,,,,,,,,,
"47 Tennessee
Number of non-zero plots numerator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,Total,374,227,,,,,,72,,,,,90,,,,,,4,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red spruce / balsam fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,42,17,,,,,,11,,,,,14,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,3,2,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Virginia pine,2,-,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,7,3,,,,,,2,,,,,2,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,7,3,,,,,,3,,,,,1,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,6,2,,,,,,1,,,,,3,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,5,1,,,,,,-,,,,,4,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,7,6,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,13,11,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,90,64,,,,,,18,,,,,9,,,,,,-,,,,,,,,,,,,,
,White oak,21,17,,,,,,4,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,20,10,,,,,,2,,,,,8,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,8,3,,,,,,1,,,,,4,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,21,8,,,,,,7,,,,,7,,,,,,-,,,,,,,,,,,,,
,Bur oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,3,3,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,10,5,,,,,,3,,,,,3,,,,,,-,,,,,,,,,,,,,
,Black walnut,3,1,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Black locust,3,-,,,,,,3,,,,,-,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,16,13,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,18,7,,,,,,5,,,,,6,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,12,1,,,,,,3,,,,,8,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,5,4,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,31,19,,,,,,3,,,,,9,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,4,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,2,1,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,4,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,11,9,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silver maple / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,6,6,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,7,5,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,4,-,,,,,,-,,,,,-,,,,,,4,,,,,,,,,,,,,
"47 Tennessee
Number of non-zero plots denominator:
Note: total number of plots in selected evaluations=225229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,Large diameter,,,,,,Medium diameter,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,"2,690","2,039",,,,,,597,,,,,367,,,,,,11,,,,,,,,,,,,,
,Jack pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine,17,14,,,,,,1,,,,,2,,,,,,-,,,,,,,,,,,,,
